"","region","ubigeo","year","Cobre","Arsenico","Bismuto","Cadmio","Estaño","Magneso","Molibdeno","Oro","Plata","Plomo","Zinc","Hierro","GasNatural","LiquidoGasNatural","PetroleoCrudo","piatotalexpenditure","pimtotalexpenditure","TOTALDEV","expenditurefic2","collectrev","piacollected","pimcollected","totalrevenue","piatotalrevenue","pimtotalrevenue","canonminero","canonmineropia","canonmineropim"
"20","APURIMAC","03","2018",6952496522.69913,0,0,0,0,0,376671971.478125,185137977.752174,1482457.89026534,129120104.24005,261796515.960623,0,0,0,0,769256840,1146950315,997464767.910001,0.869666934013367,14556543.32,13302511,18459194,240217401.7,14445107,276071995,2283972,622907,2906879
"21","AREQUIPA","04","2009",5584581440.23442,0,0,0,0,0,177360202.753301,1207392562.42538,649997461.901425,0,0,0,0,0,0,761075300,1042506440,929745813.16,0.891837000846863,49054130.41,38460000,47328811,520874107.97,179852738,424600132,135950223.87,136666300,154307010
"22","AREQUIPA","04","2010",5658745858.80646,0,0,0,0,0,664980727.702549,1241531883.34304,454963796.644033,0,0,0,0,0,0,736719823,1055360058,894243880.23,0.847335338592529,62357512.74,36792907,49246615,406872443.96,100374606,416199029,86827981.34,56317973,80206475
"23","AREQUIPA","04","2011",5492365811.41969,0,0,0,0,0,913899578.583494,1236119032.21127,373238681.105127,0,0,0,0,0,0,752933306,1206571580,1127795463.95,0.934710800647736,62267081.7,39639199,52915985,532575027.16,141863740,484013648,165712333.92,78628378,160288728
"24","AREQUIPA","04","2012",5069472364.58275,0,0,0,0,0,764713432.943251,1178751334.38959,368688332.484403,0,0,0,0,0,0,967675903,1311154597,1114511427.03,0.850022912025452,76551759.23,41638999,57720301,459269572.38,325175625,518217711,162458062.11,176292210,179742752
"25","AREQUIPA","04","2013",4742401540.69038,0,0,0,0,0,1113998761.3108,895052583.076756,360283923.885865,0,0,0,0,0,0,1072918654,1580812586,1323571154.22,0.837272644042969,78122635.6800001,44051514,67051649,388008387.99,272003166,503322604,88961733.58,151556709,162111668
"26","AREQUIPA","04","2014",4272981658.8167,0,0,0,0,0,909482378.081788,998955172.977422,362622980.804053,0,0,0,0,0,0,1084801354,1558077405,1374908753.28,0.882439315319061,102826029.78,45672503,66790235,448391422.46,215334279,467743904,77820676.15,81594961,74548404
"27","AREQUIPA","04","2015",4649267472.65,0,0,0,0,0,640013942.258121,972473402.610998,344500788.041903,0,0,0,0,0,0,1139169455,1578356845,1428356682.96001,0.904964327812195,100624432.33,51150402,75425815,467348234.46,210800095,390652135,71715624.26,60050577,65808265
"28","AREQUIPA","04","2016",9455490615.32795,0,0,0,0,0,1839783214.18031,1196588170.59938,362903682.889784,0,0,0,0,0,0,1185497483,1792228027,1607891875.68001,0.897146940231323,131942940.77,50997502,115513925,586991794.1,240271050,575855265,5073974.86,37647086,28014634
"29","AREQUIPA","04","2017",9081135508.70773,0,0,0,0,0,2403225946.00233,1559114230.32321,327811345.509003,0,0,0,0,0,0,1455812141,2339318673,1938126628.4,0.82850044965744,91519659.34,56360582,81488931,706961124.889999,413475121,745242763,51721703.91,69183254,69183254
"30","AREQUIPA","04","2018",8965480733.44634,0,0,0,0,0,2421662956.79206,1566125364.26947,368569212.079362,0,0,0,0,0,0,1508788277,2473506318,1973274602.01,0.797764122486115,118961350.53,61791061,101653979,748913033.260001,271074113,951965151,106451875.8,55814226,99410739
"31","AYACUCHO","05","2009",14332343.3584187,0,0,0,0,0,0,334090832.584133,372782413.086247,31599261.7173285,176326267.039335,0,0,0,0,471627499,598927492,549823314.96,0.918013155460358,13632458.59,9183000,14742920,99059209.42,38105499,111902663,4110142.27,9576661,9576661
"32","AYACUCHO","05","2010",12183303.8343249,0,0,0,0,0,0,382003799.62317,424870066.740085,32603108.086682,175253954.980858,0,0,0,0,537101785,720851208,653082857.39,0.905988454818726,13524761.84,9221000,14291815,178507255.66,28511950,178945150,8667848.17,815313,815313
"33","AYACUCHO","05","2011",7596520.90380745,0,0,0,0,0,0,424255293.759299,368350422.093157,24219618.570429,157164207.200203,0,0,0,0,535589696,792832504,642813575.65,0.810781061649323,13703318.61,8232552,14295701,174489589.48,38111564,171577912,14798258.04,7354374,7354374
"34","AYACUCHO","05","2012",8388652.18095032,0,0,0,0,0,0,465611749.51931,329053019.997831,44784745.8206635,275339261.878439,0,0,0,0,624305911,990166539,858116027.220001,0.86663806438446,16431464.2,8391436,15675436,193145614.44,58030860,195289524,17175663.83,12639340,17060620
